publication,doi,title,full_text_source_url,source_version,pages,full_text_sha256,verification_outcome,verification_locator,verified_bounded_claim,verification_note
https://dblp.org/rec/conf/kbse/CaoCWC024,10.1145/3691620.3695470,"JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models.",https://cs.nju.edu.cn/changxu/1_publications/24/ASE24.pdf,published_version,13,2771941d05d8b26199f0dc7bdae46bfca1d4bc7f1045eecf7731e8258d1cf041,supported,"pp. 1-2","The paper's census of 24 code-generation benchmarks found a strong Python and function-level concentration and motivated class- and project-level object-oriented evaluation.","JavaBench itself evaluates Java object-oriented method generation; the census and benchmark results should retain their sampled-benchmark, language, task, and model boundaries."
https://dblp.org/rec/conf/kbse/WangHGPG25,10.1109/ase63991.2025.00200,"An Agent-based Evaluation Framework for Complex Code Generation.",https://arxiv.org/pdf/2504.13472,submitted_version,13,0cae322f58e0ba26e9eab14b682fbf725781fabe7ee023478bd5cdae6e5eb140,supported_with_version_boundary,"pp. 1-3, 9-10","The proposed framework reported higher Pearson, Spearman, and Kendall correlations with human-annotated scores than the three evaluated baselines.","The arXiv record and PDF metadata retain the earlier CodeVisionary title, while the visible first-page title is An Agent-based Evaluation Framework for Complex Code Generation. The study evaluates 363 samples across 37 scenarios and 23 languages; verify final-version wording and counts before citing details unique to the DOI article."
https://dblp.org/rec/conf/kbse/YangZCZHZLC25,10.1109/ase63991.2025.00021,"Code-DiTing: Automatic Evaluation of Code Generation without References or Test Cases.",https://arxiv.org/pdf/2505.19502,submitted_version,12,037e368cf4800c6a4525d6740b1d56063334250066c78a7ff8836e0e763a88db,supported_with_version_boundary,"pp. 1-2, 9-10","The comparison exposes tradeoffs among judge accuracy, prompt complexity, explanation quality, and computational demand; the proposed distilled judges are evaluated as one bounded alternative.","The accessible preprint uses the title CODE-DITING: A Reasoning-Based Metric for Functional Alignment in Code Evaluation and three judge datasets; verify final-version terminology before DOI-specific use."
https://dblp.org/rec/conf/kbse/YuCLHKX25,10.1109/ase63991.2025.00248,"RealisticCodeBench: Towards More Realistic Evaluation of Large Language Models for Code Generation.",https://xiaoyu-cs.github.io/pdf/ase2025.pdf,published_version,13,68809a1311646a8ee94952d88bcecd0d02a1b7d74e6b31a95da43d2476d81737,supported,"pp. 1-3, 10-11","Tasks mined from code marked as generated by ChatGPT or Copilot produce a workload distinct from algorithmic suites and deliberately target code that developers used assistants to attempt.","The benchmark contains 376 source problems translated across five languages and evaluates 12 models; repository tags are evidence of attributed use, not a representative sample of every developer workload."
https://dblp.org/rec/conf/icse/YuSRZZMLLWX24,10.1145/3597503.3623316,"CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models.",https://arxiv.org/pdf/2302.00288,accepted_manuscript,12,b1c6d638da6e4b998c05ac6be8d89816340b488ccf8cce135300f2a066d8b821,supported_with_version_boundary,"pp. 1-3, 9-10","In the sampled popular repositories, non-standalone functions exceeded 70 percent, and the evaluated models performed substantially better on standalone than context-dependent tasks.","The accepted-manuscript artifact is matched by title and authors to DOI 10.1145/3597503.3623316, but its embedded DOI is erroneously 10.1145/3597503.3623322, which identifies a different paper. Do not represent these bytes as the published ACM version. CoderEval covers 230 Python and 230 Java tasks with six context-dependency levels; the repository sample and tested models bound the results."
https://dblp.org/rec/conf/icse/ZhengWSZM0Z25,10.1109/icse55347.2025.00228,"HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation.",https://arxiv.org/pdf/2406.06918,accepted_manuscript,13,d95ecab1fcd7278a49ad3838a6d2715090e83fb1dfeae8c28f605486532b31d9,supported,"pp. 1-3, 10-11","Repository-level evaluation can leak later project state when it supplies the latest context instead of the context available when the target function was created; HumanEvo measures that evolution boundary.","The arXiv record identifies this version as accepted for ICSE 2025. The reported inflation range depends on HumanEvo, seven evaluated models, and the studied context-acquisition methods; it is not a universal correction factor."
https://dblp.org/rec/conf/issta/OuyangY024,10.1145/3650212.3652140,"Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs.",https://yicheng-ouyang.github.io/files/BenchmarkAPR.pdf,published_version,13,53201a55798a494765211f4d7e00a67ca10a2b68d5534eb6d86b389a1f252a58,supported,"pp. 1-3, 10-11","A common environment, real and mutation-derived bugs, and multiple outcome dimensions exposed complementary behavior and implementation issues that aggregate fixed-bug counts would conceal.","The study compares nine learning-based and three traditional tools on Defects4J and a 1700-bug MuBench; its tool, language, benchmark, and metric choices bound the findings."
https://dblp.org/rec/journals/tosem/WuF25,10.1145/3715109,"HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents.",https://arxiv.org/pdf/2406.00215,accepted_manuscript,42,e62af486f704eef78e54b40bbcf575bf1da97d0b0044a8b452d7840e43ad46d3,supported_with_version_boundary,"pp. 1-4, 34-37","Communication evaluation separately measures whether systems ask useful clarifying questions when requirements are inconsistent, ambiguous, or incomplete before scoring resulting code.","The DBLP title uses the plural LLM Agents, while the preserved PDF, arXiv record, and Crossref title use the singular LLM Agent. HumanEvalComm is a manually modified benchmark with an LLM-based question evaluator and specified models; its communication and code metrics are not independent human-quality judgments."
https://dblp.org/rec/journals/tse/FakhouryNSCL24,10.1109/tse.2024.3428972,"LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation.",https://www.seas.upenn.edu/~asnaik/assets/papers/tse24_ticoder.pdf,accepted_manuscript,15,e0a65fea3bfc1038fcf590c4c6f7b1d5310e075405afd650f75facc5fe2834d4,supported,"pp. 1, 5-9, 12-13","In a 15-programmer study, test-guided interaction improved code evaluation and reduced reported cognitive load without a statistically significant completion-time increase; simulated scaling used an idealized user proxy.","The human study used bounded tasks and participants, while the four-model benchmark experiment substituted reference behavior for live user feedback; keep those evidence modes separate."
https://dblp.org/rec/conf/sigsoft/0015LSMSW20,10.1145/3368089.3409681,"Biases and differences in code review using medical imaging and eye-tracking: genders, humans, and machines.",https://huang.isis.vanderbilt.edu/cs8395/readings/huang-bias.pdf,published_version,13,42983bcc3cd223f342dd857ba43d67ccebec974b7b55ec3afdea540f1c5404bd,supported,"pp. 1-3, 8-11","With code quality controlled, reviewer behavior and attention differed with participant gender and the pull request's apparent author, showing that a human checkpoint is not automatically an unbiased oracle.","The controlled study used 37 participants, 60 pull requests, and three apparent-author conditions; it supports the existence of effects in that design, not universal effect sizes."
