publication,doi,topic,venue,year,title,triage_stage,model_recommendation,rationale,author_decision
https://dblp.org/rec/conf/sigsoft/FelderEFWC26,10.1145/3803437.3805207,adoption-governance,fse,2026,"Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study.",abstract,retain_for_full_text,"Mixed-methods evidence on organizational, regulatory, and experience constraints may directly qualify adoption and governance claims.",
https://dblp.org/rec/journals/tosem/Russo24a,10.1145/3680471,adoption-governance,tosem,2024,"Navigating the Complexity of Generative AI Adoption in Software Engineering - RCR Report.",abstract,defer_after_abstract,"Replication-package report accompanies an adoption study but is not the preferred primary result for a new manuscript claim.",
https://dblp.org/rec/conf/kbse/DandamudiR24,10.1145/3691621.3694939,evaluation-validity,ase,2024,"A Preliminary Study of Multilingual Code Language Models for Code Generation Task Using Translated Benchmarks.",abstract,retain_for_full_text,"Directly tests whether translated code benchmarks preserve evaluation behavior across programming languages.",
https://dblp.org/rec/conf/kbse/CaoCWC024,10.1145/3691620.3695470,evaluation-validity,ase,2024,"JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models.",abstract,retain_for_full_text,"Documents language, granularity, and object-oriented feature gaps in common code-generation benchmarks.",
https://dblp.org/rec/conf/kbse/WangHGPG25,10.1109/ase63991.2025.00200,evaluation-validity,ase,2025,"An Agent-based Evaluation Framework for Complex Code Generation.",abstract,retain_for_full_text,"Directly compares evaluation approaches for complex code and may qualify automated-grader claims.",
https://dblp.org/rec/conf/kbse/YangZCZHZLC25,10.1109/ase63991.2025.00021,evaluation-validity,ase,2025,"Code-DiTing: Automatic Evaluation of Code Generation without References or Test Cases.",abstract,retain_for_full_text,"Direct evidence on reference-free LLM judging, explainability, accuracy, and evaluation cost.",
https://dblp.org/rec/conf/kbse/XiaoWHWXWXWL25,10.1109/ase63991.2025.00028,evaluation-validity,ase,2025,"Interaction2Code: Benchmarking MLLM-based Interactive Webpage Code Generation from Interactive Prototyping.",abstract,defer_after_abstract,"Specialized multimodal webpage task does not materially change the repository-coding reliability claims in this edition.",
https://dblp.org/rec/conf/kbse/GuoWZ25,10.1109/ase63991.2025.00218,evaluation-validity,ase,2025,"QuanBench: Benchmarking Quantum Code Generation with Large Language Models.",abstract,defer_after_abstract,"Quantum-code benchmark is a specialized application whose results do not transfer without a separate domain analysis.",
https://dblp.org/rec/conf/kbse/YuCLHKX25,10.1109/ase63991.2025.00248,evaluation-validity,ase,2025,"RealisticCodeBench: Towards More Realistic Evaluation of Large Language Models for Code Generation.",abstract,retain_for_full_text,"Real-use task construction may directly strengthen workload-realism and benchmark-validity claims.",
https://dblp.org/rec/conf/kbse/YeCSBYL25,10.1109/ase63991.2025.00235,evaluation-validity,ase,2025,"SolContractEval: A Benchmark for Evaluating Contract-Level Solidity Code Generation.",abstract,defer_after_abstract,"Contract-level Solidity is domain-specific and does not add a necessary qualification beyond the general granularity evidence.",
https://dblp.org/rec/journals/ese/ErkusYD26,10.1007/s10664-026-10844-0,evaluation-validity,emse,2026,"ArkTS code generation: A comprehensive evaluation with large language models.",abstract,defer_after_abstract,"Language-specific model rankings do not alter a general reliability control in the frozen manuscript.",
https://dblp.org/rec/journals/ese/LiuXYSZZYXM26,10.1007/s10664-026-10856-w,evaluation-validity,emse,2026,"Robustness evaluation and enhancement of LLMs in code generation: an empirical study.",title,retain_for_full_text,"Title is directly in scope for robustness evaluation, but no abstract was available in the exact-DOI enrichment and full text is required.",
https://dblp.org/rec/journals/pacmse/ChenFH0024,10.1145/3643780,evaluation-validity,fse,2024,"PPM: Automated Generation of Diverse Programming Problems for Benchmarking Code Generation Models.",abstract,retain_for_full_text,"Benchmark-construction evidence addresses diversity, scalability, realism, and contamination risk.",
https://dblp.org/rec/conf/sigsoft/PetkeMKAS24,10.1145/3663529.3663776,evaluation-validity,fse,2024,"The Patch Overfitting Problem in Automated Program Repair: Practical Magnitude and a Baseline for Realistic Benchmarking.",abstract,retain_for_full_text,"Counterevidence on the practical magnitude of patch overfitting may materially narrow an existing benchmark-validity claim.",
https://dblp.org/rec/journals/pacmse/PengWLR25,10.1145/3715727,evaluation-validity,fse,2025,"COFFE: A Code Efficiency Benchmark for Code Generation.",abstract,retain_for_full_text,"Separates correctness from stable execution-efficiency measurement and may strengthen cost-aware evaluation claims.",
https://dblp.org/rec/conf/icse/YuSRZZMLLWX24,10.1145/3597503.3623316,evaluation-validity,icse,2024,"CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models.",abstract,retain_for_full_text,"Directly measures the mismatch between standalone-function benchmarks and repository-dependent code generation.",
https://dblp.org/rec/conf/icse/FakhouryNSCML24,10.1145/3639478.3643525,evaluation-validity,icse,2024,"Exploring the Effectiveness of LLM based Test-driven Interactive Code Generation: User Study and Empirical Evaluation.",abstract,defer_after_abstract,"The substantially overlapping journal record is retained for full-text deduplication, so this conference version is deferred provisionally.",
https://dblp.org/rec/conf/icse/ZhengWSZM0Z25,10.1109/icse55347.2025.00228,evaluation-validity,icse,2025,"HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation.",abstract,retain_for_full_text,"Evolution-aware repository context directly bears on benchmark realism, dependency levels, and freshness.",
https://dblp.org/rec/conf/issta/PinconschiB0AS22,10.1145/3533767.3543291,evaluation-validity,issta,2022,"Maestro: a platform for benchmarking automatic program repair tools on software vulnerabilities.",abstract,defer_after_abstract,"Vulnerability-repair platform is relevant background but does not yet identify a necessary change to the monograph's controls.",
https://dblp.org/rec/conf/issta/OuyangY024,10.1145/3650212.3652140,evaluation-validity,issta,2024,"Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs.",abstract,retain_for_full_text,"Direct comparison of real and artificial bugs may materially qualify task-realism and benchmark-construction guidance.",
https://dblp.org/rec/journals/pacmse/JiMLWW25,10.1145/3728938,evaluation-validity,issta,2025,"Causality-Aided Evaluation and Explanation of Large Language Model-Based Code Generation.",abstract,retain_for_full_text,"Causal evaluation and explanations may provide directly measured support for diagnostic evaluation rather than scalar scoring alone.",
https://dblp.org/rec/journals/pacmse/FuLLZX25,10.1145/3728947,evaluation-validity,issta,2025,"The First Prompt Counts the Most! An Evaluation of Large Language Models on Iterative Example-Based Code Generation.",abstract,retain_for_full_text,"Iterative prompt effects may qualify assumptions about repeated correction and evaluation protocol order.",
https://dblp.org/rec/journals/tosem/YangLMQY23,10.1145/3561382,evaluation-validity,tosem,2023,"Seeing the Whole Elephant: Systematically Understanding and Uncovering Evaluation Biases in Automated Program Repair.",abstract,retain_for_full_text,"Systematic evidence on evaluation bias is directly aligned with the manuscript's validity-chain claims.",
https://dblp.org/rec/journals/tosem/IsmayilzadaRKY24,10.1145/3625293,evaluation-validity,tosem,2024,"Poracle: Testing Patches under Preservation Conditions to Combat the Overfitting Problem of Program Repair.",abstract,retain_for_full_text,"Patch testing under preservation conditions may strengthen oracle-quality and overfitting controls.",
https://dblp.org/rec/journals/tosem/ZhongLLGLBN25,10.1145/3688834,evaluation-validity,tosem,2025,"Benchmarking and Categorizing the Performance of Neural Program Repair Systems for Java.",abstract,retain_for_full_text,"Comparative benchmark and failure categorization may add measured failure-mode evidence.",
https://dblp.org/rec/journals/tosem/WuF25,10.1145/3715109,evaluation-validity,tosem,2025,"HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents.",abstract,retain_for_full_text,"Agent communication benchmark is directly relevant to topology and handoff-quality claims.",
https://dblp.org/rec/journals/tosem/LeCongNLM25,10.1145/3716167,evaluation-validity,tosem,2025,"Towards Reliable Evaluation of Neural Program Repair with Natural Robustness Testing.",abstract,retain_for_full_text,"Natural robustness testing directly addresses reliable evaluation beyond nominal patch success.",
https://dblp.org/rec/journals/tse/CassanoGNNPPYZAFGGJ23,10.1109/tse.2023.3267446,evaluation-validity,tse,2023,"MultiPL-E: A Scalable and Polyglot Approach to Benchmarking Neural Code Generation.",abstract,retain_for_full_text,"Polyglot benchmark construction directly tests language coverage and translated-task validity.",
https://dblp.org/rec/journals/tse/FakhouryNSCL24,10.1109/tse.2024.3428972,evaluation-validity,tse,2024,"LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation.",abstract,retain_for_full_text,"Journal record is the preferred candidate for test-guided interactive generation and user cost-benefit evidence.",
https://dblp.org/rec/journals/tosem/HuCWXLZ22,10.1145/3502853,grader-validity,tosem,2022,"Correlating Automated and Human Evaluation of Code Documentation Generation Quality.",abstract,retain_for_full_text,"Direct automated-versus-human correlation evidence may qualify grader validity and metric proxy claims.",
https://dblp.org/rec/conf/kbse/Turzo22,10.1145/3551349.3559565,human-review,ase,2022,"Towards Improving Code Review Effectiveness Through Task Automation.",abstract,defer_after_abstract,"Dissertation proposal describes planned studies rather than a completed result needed by this edition.",
https://dblp.org/rec/journals/ese/RuangwanTIM19,10.1007/s10664-018-9646-1,human-review,emse,2019,"The impact of human factors on the participation decision of reviewers in modern code review.",title,retain_for_full_text,"Human participation is directly in scope, but no abstract was available in the exact-DOI enrichment and full text is required.",
https://dblp.org/rec/journals/ese/PanichellaZ20,10.1007/s10664-020-09870-3,human-review,emse,2020,"An Empirical Investigation of Relevant Changes and Automation Needs in Modern Code Review.",abstract,retain_for_full_text,"Developer-derived taxonomy and automation needs may constrain which review work should be automated.",
https://dblp.org/rec/conf/sigsoft/0015LSMSW20,10.1145/3368089.3409681,human-review,fse,2020,"Biases and differences in code review using medical imaging and eye-tracking: genders, humans, and machines.",abstract,retain_for_full_text,"Controlled human-bias evidence may materially strengthen oversight and reviewer-variance limitations.",
https://dblp.org/rec/conf/sigsoft/HeanderSR25,10.1145/3696630.3728505,human-review,fse,2025,"Support, Not Automation: Towards AI-supported Code Review For Code Quality and Beyond.",abstract,retain_for_full_text,"Directly addresses the boundary between human support and full review automation.",
https://dblp.org/rec/conf/sigsoft/Tantithamthavorn26,10.1145/3803437.3805236,human-review,fse,2026,"HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation.",abstract,retain_for_full_text,"Enterprise evaluation of reference-free grounding judgments may qualify automated review gates and grader cost.",
https://dblp.org/rec/conf/icse/Sghaier25,10.1109/icse-companion66252.2025.00072,human-review,icse,2025,"On the Automation of Code Review Tasks Through Cross-Task Knowledge Distillation.",abstract,defer_after_abstract,"Incremental model architecture does not change a developed human-oversight or reliability control.",
https://dblp.org/rec/conf/icse/TufanoMMPPB22,10.1145/3510003.3510621,human-review,icse,2022,"Using Pre-Trained Models to Boost Code Review Automation.",abstract,defer_after_abstract,"Task-performance result is covered more broadly by the code-review automation assessment already in the comparison reference set.",
https://dblp.org/rec/conf/icse/Ke25,10.1109/icse55347.2025.00226,operations-recovery,icse,2025,"NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent.",abstract,defer_after_abstract,"Non-idempotent test repair is a specialized false-positive match for the durable-workflow idempotency mechanism.",
https://dblp.org/rec/conf/icse/Rahman19,10.1109/icse-companion.2019.00088,retrieval-context,icse,2019,"Supporting code search with context-aware, analytics-driven, effective query reformulation.",abstract,defer_after_abstract,"Dissertation work is superseded for this manuscript by the two source-code-search reviews already in the comparison reference set.",
https://dblp.org/rec/conf/icse/SunFCTHZ22,10.1145/3510003.3510140,retrieval-context,icse,2022,"Code Search based on Context-aware Code Translation.",abstract,defer_after_abstract,"Individual retrieval technique does not add a necessary qualification beyond the systematic review and survey already in the comparison reference set.",
https://dblp.org/rec/journals/ese/DabrowskiLPS22a,10.1007/s10664-022-10135-4,secondary-study-method,emse,2022,"Correction to: Analysing app reviews for software engineering: a systematic literature review.",title,exclude_at_title,"Correction notice concerns an out-of-scope app-review study and is not a methods source for this review.",
https://dblp.org/rec/conf/icse/CicoJ19,10.1109/icse-companion.2019.00120,secondary-study-method,icse,2019,"Industry trends in software engineering education: a systematic mapping study.",abstract,exclude_after_abstract,"Education-topic mapping is outside the monograph's reliability mechanisms and secondary-study method claims.",
https://dblp.org/rec/conf/icse/0001ZHHB20,10.1145/3377811.3380336,secondary-study-method,icse,2020,"An evidence-based inquiry into the use of grey literature in software engineering.",abstract,retain_for_full_text,"Empirical evidence on grey-literature use directly strengthens the multivocal review methodology.",
https://dblp.org/rec/journals/tosem/WatsonCNMP22,10.1145/3485275,secondary-study-method,tosem,2022,"A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research.",abstract,retain_for_full_text,"Review findings on failures, reporting, and learning-component choices may support reproducibility limitations.",
https://dblp.org/rec/journals/tosem/HouZLYWLLLGW24,10.1145/3695988,secondary-study-method,tosem,2024,"Large Language Models for Software Engineering: A Systematic Literature Review.",abstract,retain_for_full_text,"Broad LLM-for-SE review may establish the research landscape and evaluation limitations for the monograph's scope.",
https://dblp.org/rec/journals/tosem/CerqueiraBNCSFSM26,10.1145/3748721,secondary-study-method,tosem,2026,"Exploring Empathy in Software Engineering: Insights from a Grey Literature Analysis of Practitioners' Perspectives.",abstract,defer_after_abstract,"Empathy findings are outside the selected reliability claims; using grey literature does not itself make the topic in scope.",
https://dblp.org/rec/journals/tse/MohananiSTRR20,10.1109/tse.2018.2877759,secondary-study-method,tse,2020,"Cognitive Biases in Software Engineering: A Systematic Mapping Study.",abstract,retain_for_full_text,"Mapped bias antecedents, effects, and mitigation gaps may qualify human-review and oversight claims.",
https://dblp.org/rec/journals/tse/GuRZS23,10.1109/tse.2022.3166924,secondary-study-method,tse,2023,"Logging Practices in Software Engineering: A Systematic Mapping Study.",abstract,retain_for_full_text,"Systematic evidence on ad hoc logging and weak industry adoption may directly strengthen observability guidance.",
https://dblp.org/rec/journals/tse/WangHGGZFSLZN23,10.1109/tse.2022.3173346,secondary-study-method,tse,2023,"Machine/Deep Learning for Software Engineering: A Systematic Literature Review.",abstract,retain_for_full_text,"Large review directly addresses reproducibility, replicability, data preparation, and evaluation reporting in ML-for-SE studies.",
