publication,doi,title,topic,evidence_basis,full_text_route,proposed_placement,candidate_effect,bounded_candidate_claim,author_decision,author_note
https://dblp.org/rec/conf/sigsoft/FelderEFWC26,10.1145/3803437.3805207,"Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study.",adoption-governance,abstract,open_location,"Chapter 16",qualify,"Adoption depends on organizational, regulatory, experience, and interaction-depth conditions, so governance controls should not assume homogeneous tool use.",,
https://dblp.org/rec/conf/kbse/DandamudiR24,10.1145/3691621.3694939,"A Preliminary Study of Multilingual Code Language Models for Code Generation Task Using Translated Benchmarks.",evaluation-validity,abstract,open_location,"Chapter 3",qualify,"Translated code benchmarks can preserve some evaluation signals while still exhibiting cross-benchmark inconsistencies and reproducibility limits.",,
https://dblp.org/rec/conf/kbse/CaoCWC024,10.1145/3691620.3695470,"JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3",strengthen,"Function-level Python-heavy benchmark suites underrepresent object-oriented, class-level, project-level, and language-specific code generation.",,
https://dblp.org/rec/conf/kbse/WangHGPG25,10.1109/ase63991.2025.00200,"An Agent-based Evaluation Framework for Complex Code Generation.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 5",qualify,"Complex-code grading needs requirement-guided context and fine-grained criteria; reference-free model judging still requires validation for accuracy and explainability.",,
https://dblp.org/rec/conf/kbse/YangZCZHZLC25,10.1109/ase63991.2025.00021,"Code-DiTing: Automatic Evaluation of Code Generation without References or Test Cases.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 5",qualify,"Reference-free code judging trades accuracy, explanation quality, prompt complexity, and inference cost rather than eliminating validation risk.",,
https://dblp.org/rec/conf/kbse/YuCLHKX25,10.1109/ase63991.2025.00248,"RealisticCodeBench: Towards More Realistic Evaluation of Large Language Models for Code Generation.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3",strengthen,"Benchmarks mined from real developer use can test a different workload distribution than difficult repository tasks selected without evidence of actual tool use.",,
https://dblp.org/rec/journals/ese/LiuXYSZZYXM26,10.1007/s10664-026-10856-w,"Robustness evaluation and enhancement of LLMs in code generation: an empirical study.",evaluation-validity,title,closed_or_no_open_location,"Chapter 3",qualify,"Potential robustness evidence is in scope, but no abstract was available and no substantive claim should enter the manuscript before full-text verification.",,
https://dblp.org/rec/journals/pacmse/ChenFH0024,10.1145/3643780,"PPM: Automated Generation of Diverse Programming Problems for Benchmarking Code Generation Models.",evaluation-validity,abstract,open_location,"Chapter 3",strengthen,"Benchmark generation must test semantic diversity and contamination risk rather than scaling through homogeneous perturbations alone.",,
https://dblp.org/rec/conf/sigsoft/PetkeMKAS24,10.1145/3663529.3663776,"The Patch Overfitting Problem in Automated Program Repair: Practical Magnitude and a Baseline for Realistic Benchmarking.",evaluation-validity,abstract,open_location,"Chapter 3",qualify,"Patch-overfitting severity is workload- and tool-dependent; evaluation should compare assessment methods against a simple selection baseline instead of presuming a large plausible-patch set.",,
https://dblp.org/rec/journals/pacmse/PengWLR25,10.1145/3715727,"COFFE: A Code Efficiency Benchmark for Code Generation.",evaluation-validity,abstract,open_location,"Chapter 2",strengthen,"Correctness-only code benchmarks miss execution efficiency, and timing protocols need stable, discriminating test cases before cost comparisons are credible.",,
https://dblp.org/rec/conf/icse/YuSRZZMLLWX24,10.1145/3597503.3623316,"CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3",strengthen,"Standalone-function benchmarks omit the repository dependencies that dominate many real functions and therefore cannot establish pragmatic code-generation capability.",,
https://dblp.org/rec/conf/icse/ZhengWSZM0Z25,10.1109/icse55347.2025.00228,"HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3; Chapter 12",strengthen,"Repository-level evaluation should preserve the historical dependency state at the task point rather than supplying future project context.",,
https://dblp.org/rec/conf/issta/OuyangY024,10.1145/3650212.3652140,"Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3",qualify,"Using both real-world and artificial defect sets makes benchmark composition an explicit validity condition; any claim of differing repair behavior requires full-text verification.",,
https://dblp.org/rec/journals/pacmse/JiMLWW25,10.1145/3728938,"Causality-Aided Evaluation and Explanation of Large Language Model-Based Code Generation.",evaluation-validity,abstract,open_location,"Chapter 3; Chapter 10",strengthen,"Evaluation can separate outcome scores from causal explanations of code-generation behavior, but the explanation method itself requires validation.",,
https://dblp.org/rec/journals/pacmse/FuLLZX25,10.1145/3728947,"The First Prompt Counts the Most! An Evaluation of Large Language Models on Iterative Example-Based Code Generation.",evaluation-validity,abstract,open_location,"Chapter 4",qualify,"Iterative code-generation results can depend on first-prompt conditions, so correction-loop evaluations should control ordering and initial examples.",,
https://dblp.org/rec/journals/tosem/YangLMQY23,10.1145/3561382,"Seeing the Whole Elephant: Systematically Understanding and Uncovering Evaluation Biases in Automated Program Repair.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 3",strengthen,"Automated-repair evaluations contain recurring design biases that should be surfaced as a validity chain rather than collapsed into a success rate.",,
https://dblp.org/rec/journals/tosem/IsmayilzadaRKY24,10.1145/3625293,"Poracle: Testing Patches under Preservation Conditions to Combat the Overfitting Problem of Program Repair.",evaluation-validity,abstract,open_location,"Chapter 3",strengthen,"Patch oracles should test preservation conditions in addition to bug-triggering behavior to reduce plausible-but-regressive repairs.",,
https://dblp.org/rec/journals/tosem/ZhongLLGLBN25,10.1145/3688834,"Benchmarking and Categorizing the Performance of Neural Program Repair Systems for Java.",evaluation-validity,abstract,open_location,"Chapter 10",strengthen,"Comparative repair evaluation benefits from a shared failure categorization instead of reporting aggregate repair counts alone.",,
https://dblp.org/rec/journals/tosem/WuF25,10.1145/3715109,"HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 4; Chapter 15",strengthen,"Coding-model evaluations should measure whether a system asks clarifying questions under ambiguous, incomplete, or inconsistent requirements separately from final code correctness.",,
https://dblp.org/rec/journals/tosem/LeCongNLM25,10.1145/3716167,"Towards Reliable Evaluation of Neural Program Repair with Natural Robustness Testing.",evaluation-validity,abstract,open_location,"Chapter 3",strengthen,"Repair evaluation should test naturally occurring perturbations and robustness, not nominal benchmark accuracy alone.",,
https://dblp.org/rec/journals/tse/CassanoGNNPPYZAFGGJ23,10.1109/tse.2023.3267446,"MultiPL-E: A Scalable and Polyglot Approach to Benchmarking Neural Code Generation.",evaluation-validity,abstract,open_location,"Chapter 3",strengthen,"Polyglot benchmark translation broadens language coverage but makes translation validity and per-language execution infrastructure part of the measurement contract.",,
https://dblp.org/rec/journals/tse/FakhouryNSCL24,10.1109/tse.2024.3428972,"LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation.",evaluation-validity,abstract,closed_or_no_open_location,"Chapter 4",qualify,"Test-guided interaction can improve intent alignment, but evaluations must include the human effort and ambiguity-resolution cost of the loop.",,
https://dblp.org/rec/journals/tosem/HuCWXLZ22,10.1145/3502853,"Correlating Automated and Human Evaluation of Code Documentation Generation Quality.",grader-validity,abstract,open_location,"Chapter 5; Chapter 6",strengthen,"Automated documentation metrics require direct correlation against human judgments before they can serve as quality proxies.",,
https://dblp.org/rec/journals/ese/RuangwanTIM19,10.1007/s10664-018-9646-1,"The impact of human factors on the participation decision of reviewers in modern code review.",human-review,title,open_location,"Chapter 15; Chapter 16",qualify,"Reviewer participation may depend on human and project-history factors, but the candidate claim requires version-of-record verification because exact-DOI enrichment supplied no abstract.",,
https://dblp.org/rec/journals/ese/PanichellaZ20,10.1007/s10664-020-09870-3,"An Empirical Investigation of Relevant Changes and Automation Needs in Modern Code Review.",human-review,abstract,open_location,"Chapter 15",strengthen,"Developers distinguish review tasks that need support from those suitable for automation; review tooling should preserve that task-level boundary.",,
https://dblp.org/rec/conf/sigsoft/0015LSMSW20,10.1145/3368089.3409681,"Biases and differences in code review using medical imaging and eye-tracking: genders, humans, and machines.",human-review,abstract,closed_or_no_open_location,"Chapter 15",qualify,"Human code review exhibits reviewer and apparent-author effects, so a human checkpoint is not automatically an unbiased ground truth.",,
https://dblp.org/rec/conf/sigsoft/HeanderSR25,10.1145/3696630.3728505,"Support, Not Automation: Towards AI-supported Code Review For Code Quality and Beyond.",human-review,abstract,open_location,"Chapter 15",qualify,"Code-review AI should be evaluated as support for quality and team outcomes rather than only as a path to full automation.",,
https://dblp.org/rec/conf/sigsoft/Tantithamthavorn26,10.1145/3803437.3805236,"HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation.",human-review,abstract,open_location,"Chapter 5; Chapter 15",qualify,"Reference-free review-comment grounding checks have measurable effectiveness and cost boundaries and should remain calibrated against developer preferences.",,
https://dblp.org/rec/conf/icse/0001ZHHB20,10.1145/3377811.3380336,"An evidence-based inquiry into the use of grey literature in software engineering.",secondary-study-method,abstract,closed_or_no_open_location,"Methods",methods,"Grey literature use in software-engineering research is increasing while empirical knowledge about its use remains limited; implications for quality and independence rules require full-text verification.",,
https://dblp.org/rec/journals/tosem/WatsonCNMP22,10.1145/3485275,"A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research.",secondary-study-method,abstract,closed_or_no_open_location,"Methods",methods,"The review organizes deep-learning-for-software-engineering evidence around learning components and surveyed successes, failures, and opportunities; any specific reporting-defect claim requires full-text verification.",,
https://dblp.org/rec/journals/tosem/HouZLYWLLLGW24,10.1145/3695988,"Large Language Models for Software Engineering: A Systematic Literature Review.",secondary-study-method,abstract,closed_or_no_open_location,"Frontmatter; Methods",methods,"The LLM-for-software-engineering literature spans heterogeneous tasks, data, optimization, and evaluation practices, so the monograph should state its narrower reliability-system boundary.",,
https://dblp.org/rec/journals/tse/MohananiSTRR20,10.1109/tse.2018.2877759,"Cognitive Biases in Software Engineering: A Systematic Mapping Study.",secondary-study-method,abstract,open_location,"Chapter 15",qualify,"Human verification remains exposed to documented cognitive biases, while evidence for effective mitigation in software engineering is limited.",,
https://dblp.org/rec/journals/tse/GuRZS23,10.1109/tse.2022.3166924,"Logging Practices in Software Engineering: A Systematic Mapping Study.",secondary-study-method,abstract,open_location,"Chapter 10",strengthen,"Logging research documents recurring implementation problems and low industry uptake of proposed solutions; observability protocols should therefore be tested operationally.",,
https://dblp.org/rec/journals/tse/WangHGGZFSLZN23,10.1109/tse.2022.3173346,"Machine/Deep Learning for Software Engineering: A Systematic Literature Review.",secondary-study-method,abstract,closed_or_no_open_location,"Methods",methods,"Reproducibility in ML-for-software-engineering depends on reporting data preparation, model selection, training, and evaluation details rather than model identity alone.",,
