workbook_row,topic_ids,target_scope,venue,year,title,doi,source_url,evidence_type,preliminary_relevance,coverage_note,queue_overlap,decision,decision_note
2,human-review,IEEE-targeted / Scopus-scope,ICSE-SEIP,2025,Automated Code Review in Practice,10.1109/ICSE-SEIP66354.2025.00043,https://ieeexplore.ieee.org/abstract/document/11121707/keywords,Industry empirical study,Direct evidence on LLM-assisted code review in 10 industrial projects / 238 practitioners; useful for human-review tradeoffs and workflow effects.,"Target-family venue; discovered through web, not counted as an executed IEEE/Scopus cell.",,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
3,secondary-study-method;grader-validity,IEEE-targeted / Scopus-scope,IEEE Transactions on Software Engineering,2024,"Qualitative Surveys in Software Engineering Research: Definition, Critical Review, and Guidelines",10.1109/TSE.2024.3474173,https://research.universityofgalway.ie/en/publications/qualitative-surveys-in-software-engineering-research-definition-c/,Systematic mapping / methodology,"Useful methodological evidence on rigor, reliability, and evaluation of qualitative survey methods in software engineering.",TSE target venue; bibliographic details independently resolved.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
4,evaluation-validity;human-review,Scopus-scope,ICSE,2024,"Automated Program Repair, What Is It Good For? Not Absolutely Nothing!",10.1145/3597503.3639095,https://conf.researchr.org/details/icse-2024/icse-2024-research-track/92/Automated-Program-Repair-What-Is-It-Good-For-Not-Absolutely-Nothing-,Controlled user study,Tests how developers use APR patch suggestions on real defects; directly relevant to evaluation validity and human oversight rather than patch-pass alone.,ICSE target venue; web surrogate only.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
5,evaluation-validity;topology,Scopus-scope,FSE,2025,Demystifying LLM-based Software Engineering Agents,10.1145/3715754,https://conf.researchr.org/details/fse-2025/fse-2025-research-papers/85/Demystifying-LLM-based-Software-Engineering-Agents,Benchmark / comparative empirical study,Agentless outperformed more complex agents on SWE-bench Lite and the authors identified problematic benchmark instances; strong evidence against assuming more agentic structure is better.,FSE target venue; web surrogate only.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
6,retrieval-context;evaluation-validity,Scopus-scope,FSE,2025,Alibaba LingmaAgent: Improving Automated Issue Resolution via Comprehensive Repository Exploration,10.1145/3696630.3728549,https://conf.researchr.org/details/fse-2025/fse-2025-industry-papers/21/Alibaba-LingmaAgent-Improving-Automated-Issue-Resolution-via-Comprehensive-Repositor,Industry / repository-level evaluation,"Direct evidence for repository exploration and whole-repository context in issue resolution, including production evaluation.",FSE target venue; web surrogate only.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
7,secondary-study-method;evaluation-validity;adoption-governance,Scopus-scope,ACM TOSEM,2024,Large Language Models for Software Engineering: A Systematic Literature Review,10.1145/3695988,https://doi.org/10.1145/3695988,Systematic literature review,"Large SLR (395 articles through Jan 2024) spanning LLM-for-SE methods, evaluation, tasks, and limitations; useful secondary anchor.",TOSEM target venue. DOI page surfaced via web; not ACM lane execution.,dblp-author-adjudication-2026-08.csv,defer,Duplicate of the DBLP adjudication queue; inherit its post-cutoff defer decision.
8,adoption-governance;topology;grader-validity,Scopus-scope,ACM TOSEM,2025,A 2030 Roadmap for Software Engineering,10.1145/3731559,https://doi.org/10.1145/3731559,Roadmap / synthesis,"Frames AI agents, human oversight, evaluation pipelines, trust, and governance as central software-engineering research problems.","TOSEM target venue. Web-discovered DOI record, not ACM lane execution.",,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
9,secondary-study-method;adoption-governance,Scopus-scope,ACM TOSEM,2022,Software Engineering for AI-Based Systems: A Survey,10.1145/3487043,https://doi.org/10.1145/3487043,Systematic mapping study,"Synthesizes SE approaches for AI-based systems and highlights dependability, safety, testing, quality, and data challenges.","TOSEM target venue. Web-discovered DOI record, not ACM lane execution.",,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
10,grader-validity;adoption-governance,Scopus-scope,Empirical Software Engineering,2026,Evaluating the quality of GenAI applications in software engineering: a multi-case study,10.1007/s10664-025-10759-2,https://link.springer.com/article/10.1007/s10664-025-10759-2,Industrial multi-case study,Direct practitioner evidence on how GenAI application quality is evaluated across industrial projects.,EMSE target venue; primary publisher page.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
11,human-review;adoption-governance,Scopus-scope,Empirical Software Engineering,2026,PatchTrack: A comprehensive analysis of ChatGPT’s influence on pull request outcomes,10.1007/s10664-026-10869-5,https://link.springer.com/article/10.1007/s10664-026-10869-5,Repository mining / qualitative analysis,Analyzes 338 PRs across 255 repositories; full adoption of AI-generated code was uncommon and developers frequently selectively integrated/refined suggestions.,EMSE target venue; primary publisher page.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
12,human-review;adoption-governance,Scopus-scope,Empirical Software Engineering,2026,Echoes of AI: Investigating the downstream effects of AI assistants on software maintainability,10.1007/s10664-026-10889-1,https://link.springer.com/article/10.1007/s10664-026-10889-1,Preregistered controlled experiment,"151 participants, mostly professionals; found no systematic downstream maintainability advantage or disadvantage, despite Phase-1 speed gains.",EMSE target venue; primary publisher page.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
13,evaluation-validity;human-review,Scopus-scope,Empirical Software Engineering,2026,Secure coding with AI – from detection to repair,10.1007/s10664-026-10812-8,https://link.springer.com/article/10.1007/s10664-026-10812-8,Empirical security evaluation,Uses real DevGPT snippets plus static scanning and manual inspection; useful for separating generated-code quality from model confidence and repair claims.,EMSE target venue; primary publisher page.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
14,adoption-governance,Scopus-scope,ICSE,2026,Evolving with AI: A Longitudinal Analysis of Developer Logs,,https://conf.researchr.org/details/icse-2026/icse-2026-research-track/283/Evolving-with-AI-A-Longitudinal-Analysis-of-Developer-Logs,Longitudinal mixed-method study,"Two-year telemetry from 800 developers plus survey data; directly relevant to sustained adoption, workflow change, productivity, quality, and context switching.",ICSE target venue; conference page does not expose DOI in retrieved record.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
15,topology;evaluation-validity,Scopus-scope,ICSE,2026,SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution,,https://conf.researchr.org/details/icse-2026/icse-2026-research-track/282/SWE-Debate-Competitive-Multi-Agent-Debate-for-Software-Issue-Resolution,Multi-agent method / evaluation,Directly relevant to whether explicit inter-agent competition/debate improves repository-level issue resolution.,ICSE target venue; conference page does not expose DOI in retrieved record.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
16,topology,Scopus-scope,ICSE,2026,MaCTG: Multi-Agent Collaborative Thought Graph for Automatic Programming,,https://conf.researchr.org/details/icse-2026/icse-2026-research-track/179/MaCTG-Multi-Agent-Collaborative-Thought-Graph-for-Automatic-Programming,Multi-agent method,Targets task allocation and controlled collaboration; explicitly identifies cascading hallucinations and coordination cost as multi-agent failure modes.,ICSE target venue; conference page does not expose DOI in retrieved record.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
17,evaluation-validity,Scopus-scope,ICSE,2026,Evaluating and Improving Automated Repository-Level Rust Issue Resolution with LLM-based Agents,,https://conf.researchr.org/details/icse-2026/icse-2026-research-track/67/Evaluating-and-Improving-Automated-Repository-Level-Rust-Issue-Resolution-with-LLM-ba,Repository-level benchmark study,Introduces Rust-SWE-bench with 500 tasks from 34 repositories and evaluates four agents × four LLMs.,ICSE target venue; conference page does not expose DOI in retrieved record.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
18,retrieval-context;human-review,Scopus-scope,FSE,2025,From Overload to Insight: Bridging Code Search and Code Review with LLMs,,https://conf.researchr.org/details/fse-2025/fse-2025-ideas-visions-and-reflections/28/From-Overload-to-Insight-Bridging-Code-Search-and-Code-Review-with-LLMs,Vision / research agenda,"Connects search-tool output, context overload, and human code review; useful as a bounded directional source rather than empirical evidence.",FSE target venue; ideas/visions track.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
19,human-review,Scopus-scope,FSE,2025,"Support, Not Automation: Towards AI-supported Code Review for Code Quality and Beyond",,https://conf.researchr.org/details/fse-2025/fse-2025-ideas-visions-and-reflections/15/Support-Not-Automation-Towards-AI-supported-Code-Review-for-Code-Quality-and-Beyond,Vision / research agenda,"Argues that full automation may lose knowledge transfer, shared ownership, and team-awareness benefits of review; useful as directional support.",FSE target venue; ideas/visions track.,dblp-author-adjudication-2026-08.csv,defer,Duplicate of the DBLP adjudication queue; inherit its post-cutoff defer decision.
20,grader-validity;human-review,Scopus-scope,FSE (Journal First),2025,Explaining Explanations: An Empirical Study of Explanations in Code Reviews,,https://conf.researchr.org/details/fse-2025/fse-2025-journal-first/9/Explaining-Explanations-An-Empirical-Study-of-Explanations-in-Code-Reviews,Empirical code-review study,Studies explanation types in human code review and LLM generation of those explanation types; relevant to judge/reviewer communication quality.,Presented at FSE Journal First; underlying journal metadata should be resolved before final citation.,,defer,Discovered after the 2026-08-06 cutoff; no factual correction was identified from the preserved candidate record; retain for next-edition review.
