record_type,date,source,scope_or_query,exact_query_preserved,candidates_screened,admitted,already_present,deferred_or_excluded,notes
protocol_reconstruction,2026-07-26,SciX Agent,"Benchmark validity, contamination, oracle strength, task realism, and benchmark overfitting.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Agent failure taxonomies, trajectory diagnostics, attribution, fault injection, and specification gaming.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Pass-at-k estimation, run-to-run variance, significance testing, sample efficiency, and leaderboard noise.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Human oversight, meaningful control, automation bias, trust calibration, and accountability.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Repository retrieval, code RAG, context management, code graphs, and long-context degradation.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Durable workflows, event sourcing, replay, compensation, retry semantics, and checkpointing.",false,,17,,,Scope reconstructed from the retained thread synthesis; individual machine-issued queries were not preserved as a publication-ready log.
protocol_reconstruction,2026-07-26,SciX Agent,"Scheduling under uncertainty, repository scoping, graph localization, and allocation governance.",false,,16,,,Back-filled from the citation audit; no original search query is claimed.
retained_update_audit,2026-08-06,Code Intelligence Digest published editions,Distinct scholarly records in daily and daily-general editions dated 2026-07-27 through 2026-08-05,true,38,10,1,27,Deterministic publication-window extraction; record-level decisions appear in screening-decisions.csv.
targeted_release_check,2026-08-06,arXiv,arXiv:2608.04804,true,1,1,0,0,Admitted with its no-router ablation because the ablation changes the interpretation of the routing claim.
software_engineering_coverage_probe,2026-08-06,OpenAlex metadata scoped to eight core software-engineering and CSCW venues,"Eight preserved topic queries across ICSE, FSE, ASE, ISSTA, EMSE, TSE, TOSEM, and CSCW; years 2018 through 2026-08-06",true,148,9,0,139,"Coverage probe and title/abstract triage, not a substitute for the pending publisher-native ACM Digital Library, IEEE Xplore, and Scopus search. Full records appear under methodology/software-engineering-coverage/."
software_engineering_tse_known_set_audit,2026-08-06,SciX local corpus populated from NASA Science Explorer metadata,Exact normalized DOI match for all 26 TSE records surfaced by the OpenAlex coverage probe,true,26,,26,0,"All 26 known TSE candidates matched. This is an identity-overlap diagnostic, not an estimate of topic-search recall or a substitute for IEEE Xplore."
software_engineering_dblp_title_census,2026-08-07,DBLP public SPARQL service,"Eight preserved title-query formulations across eight named venue streams; 64 cells; years 2018 through 2026; 55 unique publications retrieved",true,0,,1,0,"None of the 55 retrieved publications has a final author screening decision in this lane. Fifty were absent from both prior sets; exact-DOI enrichment supplied 47 abstracts and preliminary model triage recommended 34 for full-text review. A 34-row author packet preserves bounded candidate claims and blank decision fields. Source-hashed page-level support notes cover all 18 open-routed candidates and 13 records later found by bounded exact-title search; three access exceptions are explicit. The papers are not redistributed, these are not admissions, and DBLP is not publisher-native or equivalent to Scopus."
