publication,doi,title,full_text_source_url,source_version,pages,full_text_sha256,verification_outcome,verification_locator,verified_bounded_claim,verification_note
https://dblp.org/rec/conf/sigsoft/FelderEFWC26,10.1145/3803437.3805207,"Adoption of Generative Artificial Intelligence in the German Software Engineering Industry: An Empirical Study.",https://arxiv.org/pdf/2601.16700,published_version,11,8bb426d79d388b84035920949212b469de112fdd298c9a143bd4c9edc82a7c2f,supported,"pp. 1, 3, 6, 10","Adoption and perceived productivity vary with experience, organizational size, interaction depth, regulatory constraints, and available project context.","The mixed-methods sample is German and self-reported; carry those population and measurement boundaries into any manuscript use."
https://dblp.org/rec/conf/kbse/DandamudiR24,10.1145/3691621.3694939,"A Preliminary Study of Multilingual Code Language Models for Code Generation Task Using Translated Benchmarks.",https://arxiv.org/pdf/2411.15470,published_version,6,b5c19e22ef1fc4b69de8d5c8f1c244ac5062e60197d3e7ff5b60e3f6549a31d4,supported,"pp. 1-5","Translated benchmarks preserve useful multilingual evaluation signals while producing cross-benchmark inconsistencies and reproducibility constraints.","This is a preliminary study with explicit hardware, model-size, and language-coverage limits."
https://dblp.org/rec/journals/pacmse/ChenFH0024,10.1145/3643780,"PPM: Automated Generation of Diverse Programming Problems for Benchmarking Code Generation Models.",https://arxiv.org/pdf/2401.15545,submitted_version,21,9da737700d0bbf9c382049a6c6b8c9616e1f837c8a3bb814bf4df462a1da4b41,supported,"pp. 1, 4-6, 12-18","Benchmark generation should test semantic diversity and contamination risk rather than relying only on homogeneous perturbations.","The paper evaluates two PPM implementations against named baselines; use its results within those benchmark and model conditions."
https://dblp.org/rec/conf/sigsoft/PetkeMKAS24,10.1145/3663529.3663776,"The Patch Overfitting Problem in Automated Program Repair: Practical Magnitude and a Baseline for Realistic Benchmarking.",https://discovery.ucl.ac.uk/id/eprint/10192372/1/Kechagia_The_Patch_Overfitting_Problem_3663529.3663776.pdf,published_version,5,07fe02033c0d15cdf6a8b0d850e9bf98e943bc3a97d2672dddda4a766f6f9eb9,supported,"pp. 1-4","Patch-overfitting magnitude varies by tool and bug in the studied Defects4J workload; assessment techniques should be compared with the paper's random-selection baseline.","The empirical result covers ten APR tools, Defects4J 1.5, and a three-hour execution boundary."
https://dblp.org/rec/journals/pacmse/PengWLR25,10.1145/3715727,"COFFE: A Code Efficiency Benchmark for Code Generation.",https://arxiv.org/pdf/2502.02827,published_version,24,fdff7258295ecb8a438c5468d8eb9723dd89a2a32a0bfc51dd93b2364d26cb98,supported,"pp. 1-3, 17","Correctness benchmarks can miss execution efficiency; COFFE uses discriminating stress tests and CPU instruction counts to make efficiency comparison more stable.","The paper focuses on function- and file-level generation and states platform and validity limits; it does not establish a universal cost metric."
https://dblp.org/rec/journals/pacmse/JiMLWW25,10.1145/3728938,"Causality-Aided Evaluation and Explanation of Large Language Model-Based Code Generation.",https://arxiv.org/pdf/2310.06680,submitted_version,19,db12794142f0b38b933f601c4923801c4cc46a6c04d9377746cbe6e8b6299fbc,supported_with_version_boundary,"pp. 1-4, 15","The method augments outcome evaluation with a causal-graph analysis of prompt-code relationships and reports actionable prompt-calibration insights subject to stated validity threats.","The accessible preprint has an earlier title and studies three models; verify final-version counts before using details unique to the DOI article."
https://dblp.org/rec/journals/pacmse/FuLLZX25,10.1145/3728947,"The First Prompt Counts the Most! An Evaluation of Large Language Models on Iterative Example-Based Code Generation.",https://sfu-tai.github.io/assets/research_pubs/issta25main-p832.pdf,published_version,24,9df55a68d1295da48e25e99c9bedec0c72120d5f67b74376929678f89e1cb296,supported,"pp. 1, 3, 13, 17-18","In the evaluated iterative example-based tasks, successful functionality implementation was concentrated in early rounds and depended strongly on the initial examples.","The result is specific to six evaluated models, 172 target functionalities, and the paper's I/O-example protocol."
https://dblp.org/rec/journals/tosem/IsmayilzadaRKY24,10.1145/3625293,"Poracle: Testing Patches under Preservation Conditions to Combat the Overfitting Problem of Program Repair.",https://www.darkrsw.net/papers/TOSEM2023.pdf,published_version,39,2008e6c286460109ceafe3d78832e5ae2cf3cf7d3073aa07fa3ac0473c90e354,supported,"pp. 1-4, 32-36","Patch assessment can combine user-specified preservation conditions with differential fuzzing to find behavior regressions beyond the original bug-triggering tests.","The method assumes deterministic programs for the relevant inputs and requires a human to specify the preservation condition."
https://dblp.org/rec/journals/tosem/ZhongLLGLBN25,10.1145/3688834,"Benchmarking and Categorizing the Performance of Neural Program Repair Systems for Java.",https://kui-liu.github.io/papers/2024-zhong-benchmarking.pdf,accepted_manuscript,34,534507487f4af23ca4c798abe691cd042c50e1bd069b6065a5f0e85e09bde703,supported,"pp. 1-2, 9, 31-32","Comparative neural-repair evaluation benefits from unified training data and bug-type performance categories instead of aggregate fixed-bug counts alone.","The benchmark evaluates nine Java NPR systems; its categories and performance results should not be generalized to other repair families without new evidence."
https://dblp.org/rec/journals/tosem/LeCongNLM25,10.1145/3716167,"Towards Reliable Evaluation of Neural Program Repair with Natural Robustness Testing.",https://arxiv.org/pdf/2402.11892,submitted_version,42,52844753cfc5f2484f39501d0e43c7fddd0a00c2ff907207ae910a33e252a590,supported,"pp. 1, 4-5, 34-39","Neural-repair evaluations should distinguish naturally occurring semantic-preserving transformations and measure robustness under those variations rather than rely only on the nominal dataset.","The naturalness study and transformation set are bounded; the reported prediction and patch-rate changes do not establish all real-world variations."
https://dblp.org/rec/journals/tse/CassanoGNNPPYZAFGGJ23,10.1109/tse.2023.3267446,"MultiPL-E: A Scalable and Polyglot Approach to Benchmarking Neural Code Generation.",https://ieeexplore.ieee.org/ielaam/32/10185148/10103177-aam.pdf,accepted_manuscript,17,0b32e5db494d6bf3648a5566ea10538e32f71e3d4854487f47bb42373e88ae3e,supported,"pp. 1-2, 7-11, 14-15","Polyglot benchmark translation broadens language coverage while making compiler translation, prompt validity, and per-language execution part of the measurement contract.","The benchmark translates two Python suites into 18 additional languages and documents translation and execution limitations."
https://dblp.org/rec/journals/tosem/HuCWXLZ22,10.1145/3502853,"Correlating Automated and Human Evaluation of Code Documentation Generation Quality.",https://xing-hu.github.io/assets/papers/tosem2.pdf,accepted_manuscript,28,3589c1f4fd8994ab722076ff6500a3d3ead568e73bce385633ea1ed086e74e9b,supported,"pp. 1-3, 20-24","Automated documentation metrics require direct comparison with human judgments before being used as quality proxies; in this study they were not reliable substitutes for human evaluation.","The findings concern the studied code-comment and commit-message tasks, metrics, models, and annotator protocol."
https://dblp.org/rec/journals/ese/RuangwanTIM19,10.1007/s10664-018-9646-1,"The impact of human factors on the participation decision of reviewers in modern code review.",https://arxiv.org/pdf/1806.10277,submitted_version,43,df44c196ed25d36f03802a6855f28d3f7ce2baefff550c676cdf663d35b27ced,supported,"pp. 1, 3, 31-34","Reviewer participation in the four studied systems was associated with human and experience factors, especially prior participation rate and code-authoring experience.","This observational case study reports associations, not causal effects, across Android, LibreOffice, OpenStack, and Qt."
